,Initial Value,Final Value,Number of Votes,Yays,Majority Party Size,Distance between Medians,Majority St. Dev.,Majority Round Adjustment,Minority St. Dev.,Minority Round Adjustment
52,0.6095085286625422,0.2804998003769056,37.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
53,0.5195807127836183,0.24515577321498355,46.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
54,-0.5246896737090655,-0.03468967370906528,50.0,58.0,51.0,1.0,0.1,0.01,0.1,0.01
55,-0.39046687826463666,0.09953312173536355,50.0,53.0,51.0,1.0,0.1,0.01,0.1,0.01
56,-0.332520153321178,0.11747984667882222,46.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
57,-0.633246357950469,-0.17324635795046878,47.0,52.0,51.0,1.0,0.1,0.01,0.1,0.01
58,0.29324239961582665,0.29324239961582665,42.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
59,-0.534795394714011,-0.03479539471401083,51.0,55.0,51.0,1.0,0.1,0.01,0.1,0.01
60,0.5672109421745821,0.325484002245258,47.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
61,0.35841558049300537,0.2839157260089987,41.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
62,0.4307083498965594,0.3451229951068632,34.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
63,0.4297052865597613,0.2908525824588255,40.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
64,0.3593584306144937,0.2856779878831962,47.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
65,0.6586505321720283,0.27594264922618045,46.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
66,-0.5525864526536431,-0.05258645265364292,51.0,52.0,51.0,1.0,0.1,0.01,0.1,0.01
67,0.4125237350060604,0.29853659853112924,39.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
68,0.45264847198417646,0.3560646678637863,40.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
69,-0.7402619753685329,-0.23026197536853266,52.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
70,0.5149572563857079,0.238329474712553,45.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
71,-0.5667883882395537,-0.10678838823955344,47.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
72,-0.48337460304551394,-0.013374603045513689,48.0,54.0,51.0,1.0,0.1,0.01,0.1,0.01
73,0.4140117860634775,0.12097511326686189,50.0,54.0,51.0,1.0,0.1,0.01,0.1,0.01
74,-0.55883438315502,-0.06883438315501977,50.0,53.0,51.0,1.0,0.1,0.01,0.1,0.01
75,-0.3958639081466558,0.08413609185334442,49.0,58.0,51.0,1.0,0.1,0.01,0.1,0.01
76,-0.5431225131262051,-0.04312251312620485,51.0,53.0,51.0,1.0,0.1,0.01,0.1,0.01
77,0.5045591302857351,0.2860194595501393,51.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
78,0.4873297817076899,0.24910943531060015,42.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
79,-0.3655527450277888,0.11444725497221142,49.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
80,-0.3242811237771718,0.13571887622282847,47.0,52.0,51.0,1.0,0.1,0.01,0.1,0.01
81,-0.5239739252933887,-0.043973925293388505,49.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
82,0.3663450918311433,0.24069371849138693,50.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
83,0.5461440235848148,0.25536747506532426,45.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
84,0.3644887801394767,0.32201146972103156,39.0,51.0,51.0,1.0,0.1,0.01,0.1,0.01
85,-0.3857871006390673,0.10421289936093292,50.0,53.0,51.0,1.0,0.1,0.01,0.1,0.01
86,-0.5478707703904528,-0.05787077039045263,50.0,52.0,51.0,1.0,0.1,0.01,0.1,0.01
87,-0.4621062636106125,0.0378937363893877,51.0,54.0,51.0,1.0,0.1,0.01,0.1,0.01
88,-0.6030173800148002,-0.1130173800148,50.0,54.0,51.0,1.0,0.1,0.01,0.1,0.01
